"","Numéro d'analyse","Type de produit","Epaisseur nominale (mm)","Longueur après ponçage (mm)","Largeur après ponçage (mm)","Client","OPP","Epaisseur brute (mm)","Densité brute (kg/m3)","Tractions moy. (SP) (MPa)","Epaisseur après ponçage (mm)","Densité après ponçage (kg/m3)","Tractions moy. (après ponçage) (MPa)","Flexion long. (MPa)","Flexion larg. moy. (MPa)","Module long. moy. (MPa)","Module larg. moy. (MPa)","Humidité du panneau (%)","Gonflement 24h (%)","Gonflement 2h (%)","Fissilité recto moy. (MPa)","Fissilité verso moy. (MPa)","Vis (MPa)","Colle CI (% (sec / bois sec))","Colle CS (% (sec / bois sec))","Emulsion CI (% (poids sec / bois sec CI))","Emulsion CS (% (poids sec / bois sec CS))","Durcisseur CI (% (poids sec/colle sèche CI))","Durcisseur CS (% (poids sec/colle sèche CS))","Facteur de presse (s/mm)","Vitesse de ligne (mm/s)","% mat CS (% (poids du mat sec CS / total))","Colle CI: référence","Colle CS: référence","Emulsion","MDI CI (% (poids sec / bois sec CI))","Press booster : ratio sup. ()","Press booster : ratio inf. ()","Urée CI (% (poids sec/colle sèche CS))","Urée CI (% (poids sec/colle sèche CS))","Température rouleau (°C)","Température CCE (°C)","Température zone 1 (°C)","Température zone 2 (°C)","Température zone 3 (°C)","Température zone 4 (°C)","Température zone 5 (°C)","Date perfo formaldehyde ()","Humidité pour formol perfo 6,5H%","Formol perfo brut (mg/100g de px)","Formol perfo à 6.5H% (mg/100g de px)","Dosage de formol (valeur corrélée) (mg/100g de px)","Commentaires","Temps","Largeur brute (mm)","Longueur brute (mm)","Colorant CI (% (poids sec / bois sec CI))","Colorant CS (% (poids sec / bois sec CS))","Eau supplémentaire (sur colle liquide) CI (% (poids sur colle liquide))","Eau (sur colle liquide) CI (% (poids sur colle liquide))","Eau supplémentaire (sur colle liquide) CS (% (poids sur colle liquide))","Eau (sur colle liquide) CS (% (poids sur colle liquide))","Nom de produit","Poids brut (kg/m2)","Surrépaisseur (mm)","Densité brute HD (kg/m3)","Densité brute BD (kg/m3)","Tractions moy. HD (MPa)","Tractions moy. BD (MPa)","Fissilité HD (MPa)","Fissilité BD (MPa)","Flux de Colle CI ()","Flux Colle CS ()","Flux Durcisseur CI ()","Flux Durcisseur CS ()","Flux Urée CS ()","Flux Emulsion CI ()","Flux Emulsion CS ()","Flux Couleur CI ()","Flux MID CI ()","Flux Eau CI ()","Flux Eau additionnelle CI ()","Flux Urée CI ()","Coût mélange collant par px (€/m3)","Coûts fixes par panneau (€/m3)","Coûts additifs par panneau (€/m3)","Densité brute (MPa)","Densité brute (MPa)","Densité brute (MPa)","Tractions moy. (SP) (MPa)","Tractions moy. (SP) (MPa)","Tractions moy. (SP) (MPa)","NA","Temps","Tractions (std/hd) (MPa)","Tractions (std/hd) (MPa)","Tractions (std/hd) (MPa)","Tractions (std/hd) (MPa)","Flexion long. (MPa)","Flexion long. (MPa)","Flexion long. (MPa)","Fissilité (verso ou BD) (MPa)","Fissilité (verso ou BD) (MPa)","Fissilité (verso ou BD) (MPa)","Fissilité (verso ou BD) (MPa)","Spécification tractions (MPa)","Spécification MOR (MPa)","Spécification fissilité (MPa)","Spécification densité brute min. (kg/m3)","Spécification densité brute max. (kg/m3)","Indicateur de coût (%)","Indicateur de coût (%)","Indicateur de coût (%)","Indicateur de coût (%)","Colle CI (% (sec / bois sec))","Colle CS (% (sec / bois sec))","MDI CI (% (poids sec / bois sec CI))","Ratio","Coût MDI par panneau (€/m3)","Coût colle par panneau (€/m3)","Coûts fixes par panneau (€/m3)","Coût total par panneau (€/m3)","Code d'article","Né ouvert","Débit (m3/h)","Débit (m3/h)","Vitesse de ligne (mm/s)","Colle par panneau (kg/m3 sec)","MDI par panneau (kg sec / m3 de px)","Emulsion par panneau (kg sec / m3 de px)","Coût émulsion par panneau (€/m3)","Urée par panneau (kg sec / m3 de px)","Coût urée par panneau (€/m3)","Durcisseur par panneau (kg sec / m3 de px)","Coût durcisseur par panneau (€/m3)","Colorant par panneau (kg sec / m3 de px)","Coût colorant par panneau (€/m3)","Bois par panneau (kg/m3 sec)","Coût bois par panneau (€/m3)","Coût bois par panneau (€/m3)","Coûts fixes par panneau (€/m3)","Durcisseur CI (sur bois) (% (poids sec/bois sec CI))","Urée CI (sur bois) (% (poids sec / bois sec CI))","Durcisseur CS (sur bois) (% (poids sec/bois sec CS))","Urée CS (sur bois) (% (poids sec / bois sec CS))","Eau (sur bois) CS (% (poids sur bois sec))","Eau (sur bois) CI (% (poids sur bois sec))","Eau goulotte (sur bois) CS (% (poids sur bois sec))","Eau goulotte (sur bois) CI (% (poids sur bois sec))","Coûts colles par panneau (€/m3)","Coûts colles par panneau (€/m3)","Coûts additifs par panneau (€/m3)","Coût total par panneau (€/m3)","Indicateur de coût de bois (%)","Indicateur de coût de colles (%)","Indicateur de coût des additifs (%)","Indicateur de coût fixes (%)","Indicateur de coût de bois (%)","Indicateur de coût de colles (%)","Indicateur de coût des additifs (%)","Indicateur de coût fixes (%)"
"2496",54991.0701588505,"BFBATBGPZI",54.5421477868833,NA,NA,"QONJUTN",97408.6148180663,59.0359228374909,701.629813854312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7039384668878,19.026462036112,0.897050045770214,1.19722000587939,0.0702855261240556,0.0447699844375126,7.59131991322666,401.23564729823,0.4219229120185,"NPNES","OYWA","WYRNB",1.09889940358527,0.118240147904684,0.158232638727761,0.0922233109739866,0.0605270268452649,453.971719961081,363.209383731489,355.949781380989,300.677010940279,449.238027387967,449.208181805687,192.378786422278,2023-05-09,NA,NA,4.64941041679787,5.28321494994813,NA,2023-05-06 05:06:00,1303.68903165427,8387.70366109093,0,0,0,0,0,0.76472701883649,"MSEXR",20.8657470729472,NA,664.430817580391,661.218554421369,0.303822722304602,0.279049746357807,NA,NA,102.429373502762,28.0823137409958,3.4301103429662,0.585429898766385,0.545638831182985,6.15966567990909,2.29369869737675,0.0415427186934473,2.15751461880248,0,0,1.2454013638755,60.4395725312054,66.3874592454724,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530597830682887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254661736912502,10.6942179082355,1.64803580675136,871.476576477698,807.99284058664,NA,NA,NA,NA,13.2255277740834,12.4888765247585,0.737407501252758,2.12588986053083,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458067711659638,0.586014338822916,0.396992463179245,0.375814831071652,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2497",54993.2301727034,"PUJUJQWS",28.8333957533582,NA,NA,"XRTJYFCGXYC",97422.61380786,30.1924678624017,755.077348677101,0.614946181214444,NA,NA,NA,16.5987073235886,14.4572014222803,4894.11349239737,2657.8406080574,0.116061059229298,NA,NA,1.34157520649788,1.39434600598648,NA,16.9009243551924,16.1226486445906,0.897050045770214,0.777565040284401,0.0702855261240556,0.0447699844375126,6.45597093361473,895.006281488682,0.503739668317611,"NPNES","OYWA","WYRNB",0.598157889840717,0.925717336824079,2.06817018760251,0.082870622159285,0.115377495300356,453.971719961081,360.289030014462,352.155880168955,297.441083076325,444.383918376943,447.564158372155,190.988001561532,2023-05-09,15.8533795700454,2.64266163200003,3.67165730721497,4.30009929946257,NA,2023-05-06 09:00:00,1416.94312167789,5421.17863890939,0,0,0,0,0,0.76472701883649,"JLRKK",12.3885936465255,NA,NA,NA,NA,NA,NA,NA,128.095748609184,38.8216917878796,4.32015855107555,0.763945774058696,1.32779356129255,8.08263243847708,2.90846923998742,0.0415427186934473,1.5829736519855,0,0,1.34220676315835,63.0178906418416,58.511291012326,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661920339308729,NA,NA,NA,NA,NA,NA,1.11166382998584,NA,NA,NA,0.405080994840778,13.2204762467824,1.64803580675136,940.485943193744,869.666771246176,NA,NA,NA,NA,12.9291974240884,10.7723420182977,0.466584564009266,2.11232317622208,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466753509015004,0.525661868943912,0.338309790129368,0.601405734530138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2498",54995.3901865564,"PUJUJQWS",28.8333957533582,NA,NA,"XRTJYFCGXYC",97422.61380786,30.1924678624017,761.75829052995,0.602126337514891,NA,NA,NA,17.4153187965025,14.034965362379,5042.50995716067,2452.51612184672,0.119021609423921,NA,NA,1.32808253594577,1.07828280901348,NA,16.9009243551924,16.1226486445906,0.897050045770214,0.777565040284401,0.0702855261240556,0.0447699844375126,5.87143482529968,963.112575859779,0.503739668317611,"NPNES","OYWA","WYRNB",0.598157889840717,0.925717336824079,2.06817018760251,0.082870622159285,0.115377495300356,453.971719961081,360.289030014462,352.155880168955,297.441083076325,444.383918376943,447.564158372155,190.988001561532,NA,NA,NA,NA,NA,NA,2023-05-06 13:00:00,1416.94312167789,5421.17863890939,0,0,0,0,0,0.76472701883649,"JLRKK",12.4717425193092,NA,NA,NA,NA,NA,NA,NA,137.38491662567,40.2745509752094,4.55489654002746,0.810014387037357,1.37825515678349,8.12536503311192,3.04508491612313,0.0415427186934473,1.66399866012636,0,0,1.45514639565502,63.2542924697617,56.4962178959064,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647328949461414,NA,NA,NA,NA,NA,NA,1.10017956537185,NA,NA,NA,0.405080994840778,13.2204762467824,1.64803580675136,940.485943193744,869.666771246176,NA,NA,NA,NA,12.9291974240884,10.7723420182977,0.466584564009266,2.05965820903393,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466753509015004,0.525661868943912,0.338309790129368,0.601405734530138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2499",54997.5502004093,"PUJUJQWS",28.8333957533582,NA,NA,"XRTJYFCGXYC",97422.61380786,30.1075925657609,768.439232382798,0.614946181214444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9009243551924,16.1226486445906,0.897050045770214,0.777565040284401,0.0702855261240556,0.0447699844375126,6.52341740765108,912.032855081456,0.503739668317611,"AHWFAO","OYWA","WYRNB",0.598157889840717,0.925717336824079,2.06817018760251,0.082870622159285,0.115377495300356,453.971719961081,357.368676297434,345.832711482233,294.20515521237,442.765882039935,445.920134938624,190.988001561532,2023-05-10,16.0035999328344,3.47878332555621,4.73494912055958,5.36922279545247,NA,2023-05-06 19:35:00,1416.94312167789,5421.17863890939,0,0,0,0,0,0.76472701883649,"JLRKK",12.5252761057017,NA,NA,NA,NA,NA,NA,NA,131.629671224152,37.9283797199944,4.36906229877386,0.792738657170359,1.33139796097047,8.03989984384223,2.60791475248887,0.0415427186934473,1.61980320114044,0,0,1.47934774547573,63.2410853166368,58.4441535524076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661920339308729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405080994840778,13.2204762467824,1.64803580675136,940.485943193744,869.666771246176,NA,NA,NA,NA,12.9291974240884,10.7723420182977,0.466584564009266,2.0630957655391,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466753509015004,0.525661868943912,0.338309790129368,0.601405734530138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2500",54999.7102142622,"PUJUJQWS",28.8333957533582,NA,NA,"XRTJYFCGXYC",97422.61380786,30.079300800214,774.006683926839,0.640585868613548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9009243551924,16.1226486445906,0.897050045770214,0.777565040284401,0.0702855261240556,0.0447699844375126,5.96136345734815,997.165723045327,0.503739668317611,"AHWFAO","OYWA","WYRNB",0.598157889840717,0.7642218990402,1.68618267782756,0.082870622159285,0.115377495300356,453.971719961081,363.209383731489,357.214415118333,301.755653561597,450.856063724975,449.208181805687,192.378786422278,NA,NA,NA,NA,NA,NA,2023-05-07 01:10:00,1416.94312167789,5421.17863890939,0,0,0,0,0,0.76472701883649,"JLRKK",12.5843936430397,NA,NA,NA,NA,NA,NA,NA,145.603810935909,42.1004415755023,4.89722277391567,0.850324423393685,1.4539475500199,9.23641249361787,3.35930097123525,0.0415427186934473,1.72292593877426,0,0,1.74556259350358,64.6874757285479,55.3359275972518,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691103119003361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405080994840778,13.2204762467824,1.64803580675136,940.485943193744,869.666771246176,NA,NA,NA,NA,12.9291974240884,10.7723420182977,0.466584564009266,2.03441825826352,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466753509015004,0.525661868943912,0.338309790129368,0.601405734530138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2501",55001.8702281152,"PUJUJQWS",28.8333957533582,NA,NA,"XRTJYFCGXYC",97422.61380786,30.0368631518936,763.985271147566,0.602126337514891,NA,NA,NA,16.5987073235886,13.6127293024778,4982.17293302614,2563.50233060925,0.118281471875265,NA,NA,1.26061918318526,1.1788483716867,NA,16.9009243551924,16.1226486445906,0.897050045770214,0.777565040284401,0.0702855261240556,0.0447699844375126,5.87143482529968,1022.70558343449,0.503739668317611,"AHWFAO","OYWA","WYRNB",0.598157889840717,0.925717336824079,2.06817018760251,0.082870622159285,0.115377495300356,453.971719961081,363.209383731489,355.949781380989,300.677010940279,449.238027387967,449.208181805687,192.378786422278,2023-05-10,15.6041744846947,3.38725792789458,4.72371967423678,5.35793176061142,NA,2023-05-07 09:40:00,1416.94312167789,5421.17863890939,0,0,0,0,0,0.76472701883649,"JLRKK",12.4454956891564,NA,NA,NA,NA,NA,NA,NA,147.138543042981,43.7496330854442,5.01459176839163,0.856083000016018,1.50440914551083,8.76635395263458,3.35930097123525,0.0415427186934473,1.7523895780982,0,0,1.58422026136549,64.2759550586886,54.4218066255496,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647328949461414,NA,NA,NA,NA,NA,NA,1.0427582423019,NA,NA,NA,0.405080994840778,13.2204762467824,1.64803580675136,940.485943193744,869.666771246176,NA,NA,NA,NA,12.9291974240884,10.7723420182977,0.466584564009266,2.04999524901522,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466753509015004,0.525661868943912,0.338309790129368,0.601405734530138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2502",55004.0302419681,"PUJUJQWS",28.8333957533582,NA,NA,"XRTJYFCGXYC",97422.61380786,30.0085713863467,768.439232382798,0.640585868613548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7039384668878,16.1226486445906,0.897050045770214,0.777565040284401,0.0702855261240556,0.0447699844375126,5.87143482529968,1031.3891359668,0.503739668317611,"NPNES","OYWA","WYRNB",0.598157889840717,0.925717336824079,2.06817018760251,0.082870622159285,0.115377495300356,453.971719961081,363.209383731489,355.949781380989,300.677010940279,449.238027387967,449.208181805687,192.378786422278,NA,NA,NA,NA,NA,NA,2023-05-07 11:40:00,1416.94312167789,5421.17863890939,0,0,0,0,0,0.76472701883649,"JLRKK",12.4907249382454,NA,NA,NA,NA,NA,NA,NA,151.540800929055,44.0244983371012,5.07327626562961,0.890634459750013,1.52603554357838,9.10821470971334,3.35930097123525,0.0415427186934473,1.79658503708413,0,0,1.58422026136549,64.9762616866518,54.1337501276893,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691103119003361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405080994840778,13.2204762467824,1.64803580675136,940.485943193744,869.666771246176,NA,NA,NA,NA,12.9291974240884,10.7723420182977,0.466584564009266,2.06087536224161,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458067711659638,0.525661868943912,0.338309790129368,0.601405734530138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2503",55006.190255821,"PUJUJQWS",28.8333957533582,NA,NA,"XRTJYFCGXYC",97422.61380786,30.2066137451752,775.120174235647,0.602126337514891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9009243551924,16.1226486445906,0.897050045770214,0.777565040284401,0.0702855261240556,0.0447699844375126,5.54544353412398,1090.98214354151,0.503739668317611,"NPNES","OYWA","WYRNB",0.681614808798144,0.925717336824079,2.06817018760251,0.082870622159285,0.115377495300356,453.971719961081,360.289030014462,352.155880168955,297.441083076325,444.383918376943,447.564158372155,190.988001561532,2023-05-10,15.5413647816711,3.0379831576569,4.26827034081521,4.89998449017935,NA,2023-05-07 18:00:00,1416.94312167789,5421.17863890939,0,0,0,0,0,0.76472701883649,"JLRKK",12.6430213601194,NA,NA,NA,NA,NA,NA,NA,162.465670270183,44.2600971242358,5.29823350504186,0.97125453246267,1.59812353713686,10.1765295755844,3.70084016157451,0.0415427186934473,2.06175779099965,0,0,1.67295854404144,65.3875439144029,52.3543530092177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647328949461414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405080994840778,13.2204762467824,1.64803580675136,940.485943193744,869.666771246176,NA,NA,NA,NA,12.9291974240884,10.7723420182977,0.466584564009266,2.02742605656872,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466753509015004,0.525661868943912,0.338309790129368,0.601405734530138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2504",55008.350269674,"UHAXEIDLAN",22.0816022900081,NA,NA,"AYTNH",97431.363176481,22.8931923512953,769.552722691606,0.614946181214444,NA,NA,NA,18.5041340937211,15.7239096019839,4887.59057086931,2595.68833115038,0.114580784131986,NA,NA,1.15267781876844,1.19321488064002,NA,16.7039384668878,16.6066175431775,1.09223226973148,1.19722000587939,0.0702855261240556,0.0447699844375126,7.89482904639025,1099.32516460197,0.531011920417314,"NPNES","OYWA","WYRNB",0.598157889840717,0.602726461256321,1.30419516805261,0.0922233109739866,0.115377495300356,450.489778885886,352.988145721893,343.303444007544,289.890584727098,433.057664017888,436.055994337437,186.120254548924,NA,NA,NA,NA,NA,NA,2023-05-07 22:00:00,1411.28041717671,9143.91907096969,0,0,0,0,0,0.76472701883649,"OXVCT",10.0179464886374,NA,NA,NA,NA,NA,NA,NA,118.988325184325,37.1823168940683,3.88980557133037,0.775462927303361,1.3350023606484,8.74498765531716,4.83475027350086,0.0415427186934473,1.50194864384465,0,0,1.37447522958597,66.4649530624757,62.5428744393449,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661920339308729,NA,NA,NA,NA,NA,NA,0.950884125389977,NA,NA,NA,0.455220747483536,13.2204762467824,1.64803580675136,954.287816536953,882.001557378084,NA,NA,NA,NA,13.2255277740834,11.0584311027078,0.737407501252758,2.04776159036926,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458067711659638,0.586014338822916,0.350046324739343,0.62191399848091,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2505",55010.5102835269,"UHAXEIDLAN",22.0816022900081,NA,NA,"AYTNH",97431.363176481,22.8790464685218,772.89319361803,0.666225556012652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0979102434969,16.6066175431775,1.09223226973148,1.19722000587939,0.0702855261240556,0.0447699844375126,6.7369979087662,1184.45803256584,0.531011920417314,"NPNES","OYWA","WYRNB",0.76507172775557,0.602726461256321,1.30419516805261,0.0922233109739866,0.115377495300356,450.489778885886,352.988145721893,343.303444007544,289.890584727098,433.057664017888,436.055994337437,186.120254548924,2023-05-10,15.7148712066199,2.10481948465553,2.98069592479157,3.60534830119536,NA,2023-05-07 23:30:00,1411.28041717671,9143.91907096969,0,0,0,0,0,0.76472701883649,"OXVCT",10.0428896433332,NA,NA,NA,NA,NA,NA,NA,126.460047284542,41.5899775367107,4.13432430982195,0.833048693526687,1.44313435098612,9.32187768288756,4.68447302975159,0.0415427186934473,1.91443959437992,0,0,1.54388467833097,68.3076407289404,59.9508486820389,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.720285898697992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455220747483536,13.2204762467824,1.64803580675136,954.287816536953,882.001557378084,NA,NA,NA,NA,13.2255277740834,11.0584311027078,0.737407501252758,2.10052414055604,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466753509015004,0.601102456292668,0.350046324739343,0.62191399848091,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
